State,City,Locality,Property_Type,BHK,Size_in_SqFt,Furnished_Status,Floor_No,Total_Floors,Security,Amenities,Facing,Owner_Type,Availability_Status,Year_Built,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Price_in_Lakhs
Telangana,Pune,Locality_3,Independent House,5,4820.0,Unfurnished,20.0,39,Yes,Basic,North-East,Owner,Ready to Move,2010,6,3,1,2,825.5615748834158
Tamil Nadu,New Delhi,Locality_30,Builder Floor,1,3247.0,Semi-Furnished,32.0,38,Yes,Premium,South,Owner,Under Construction,2016,6,2,1,1,707.7995360228108
Haryana,Gurgaon,Locality_6,Builder Floor,4,,Unfurnished,23.0,31,No,Basic,South,Agent,Ready to Move,2015,1,2,3,0,1100.9628159177385
Karnataka,New Delhi,Locality_29,Independent House,3,3633.0,Unfurnished,17.0,20,Yes,Luxury,South,Builder,Under Construction,2016,7,2,2,2,1146.3651048137033
Haryana,Bangalore,Locality_8,Apartment,4,3920.0,Unfurnished,16.0,34,,Luxury,South,Builder,Under Construction,2013,5,1,4,3,1159.5311242497937
Karnataka,Gurgaon,Locality_44,Independent House,2,1965.0,Fully Furnished,38.0,49,Yes,Luxury,North-East,Owner,Under Construction,1994,3,0,8,3,586.5563249913711
Karnataka,Chennai,Locality_45,Builder Floor,5,4609.0,Unfurnished,8.0,24,No,Premium,North,Owner,Under Construction,2017,6,4,5,3,844.4258926585267
Delhi,Pune,Locality_43,Independent House,5,2711.0,Fully Furnished,19.0,33,Yes,Premium,East,Builder,Ready to Move,2021,7,1,5,1,489.68453854791466
Karnataka,Bangalore,Locality_44,Apartment,5,3304.0,Unfurnished,30.0,33,No,Luxury,East,Owner,Under Construction,2013,0,4,6,2,977.12812968643
Maharashtra,Chennai,Locality_33,Villa,5,2043.0,Fully Furnished,34.0,40,Yes,Basic,South,Builder,Ready to Move,1995,9,4,5,1,291.11473439553095
Tamil Nadu,New Delhi,Locality_17,Villa,5,2189.0,Unfurnished,14.0,25,No,Basic,North,Agent,Ready to Move,1999,3,3,5,0,623.2753788334162
Tamil Nadu,Gurgaon,Locality_48,Independent House,5,2071.0,Unfurnished,,47,Yes,Luxury,West,Owner,Under Construction,1992,3,2,7,2,720.6335660012709
Haryana,Pune,Locality_11,Apartment,1,3779.0,Semi-Furnished,17.0,21,No,Premium,North,Agent,Ready to Move,1996,9,3,6,1,585.8077439799807
Karnataka,Bangalore,Locality_13,Villa,3,4041.0,Semi-Furnished,15.0,45,Yes,Basic,West,Builder,Ready to Move,2018,8,2,2,3,856.6813993651141
Maharashtra,Chennai,Locality_50,Independent House,5,3523.0,Unfurnished,32.0,34,Yes,Basic,East,Builder,Ready to Move,2023,5,1,1,3,674.3862290678242
Haryana,Chennai,Locality_11,Independent House,3,1318.0,Unfurnished,13.0,34,No,Basic,North,Agent,Ready to Move,1996,3,4,1,0,182.11845159049307
Delhi,Pune,Locality_31,Apartment,5,1624.0,Unfurnished,21.0,37,Yes,Premium,North,Owner,Under Construction,2006,0,3,4,0,403.363345215775
Haryana,Hyderabad,Locality_28,Builder Floor,4,1629.0,Unfurnished,33.0,41,Yes,Luxury,East,Agent,Ready to Move,2002,7,1,2,0,310.67635784631307
Haryana,New Delhi,Locality_44,Independent House,5,2202.0,Semi-Furnished,27.0,30,Yes,Premium,North,Agent,Ready to Move,2010,8,1,6,3,732.0215298841653
Karnataka,Pune,Locality_6,Builder Floor,2,2501.0,Fully Furnished,35.0,39,Yes,Basic,West,Owner,Ready to Move,2020,4,2,9,1,332.85711772322696
Delhi,Chennai,Locality_41,Builder Floor,1,4378.0,Unfurnished,16.0,25,No,Luxury,North,Builder,Ready to Move,1998,4,4,8,3,815.3056491972194
Haryana,Mumbai,Locality_16,Villa,4,4872.0,Semi-Furnished,28.0,29,Yes,Premium,West,Agent,Ready to Move,2002,9,2,4,3,1337.5663391909654
Maharashtra,Bangalore,Locality_4,Builder Floor,4,2306.0,Unfurnished,34.0,47,Yes,Luxury,South,Agent,Under Construction,2006,7,2,2,3,809.4346587907015
Maharashtra,Pune,Locality_35,Apartment,2,3447.0,Unfurnished,1.0,19,No,Basic,North,Builder,Ready to Move,1997,7,1,1,1,411.34611470746506
Tamil Nadu,Hyderabad,Locality_48,Villa,5,3709.0,Fully Furnished,,40,Yes,Premium,West,Agent,Under Construction,1998,4,2,7,3,718.7999669666192
Delhi,Chennai,Locality_26,Villa,1,2652.0,Unfurnished,36.0,38,No,Luxury,East,Builder,Ready to Move,1998,3,0,3,0,504.63247858851076
Delhi,New Delhi,Locality_12,Villa,4,4705.0,Unfurnished,33.0,36,Yes,Premium,South,Owner,Under Construction,2019,5,4,6,0,1323.1901111919922
Tamil Nadu,Chennai,Locality_11,Independent House,1,1044.0,Fully Furnished,33.0,37,No,Basic,North,Builder,Ready to Move,1996,9,2,5,0,138.3883659314617
Haryana,New Delhi,Locality_37,Independent House,4,2901.0,Fully Furnished,39.0,45,Yes,Luxury,West,Builder,Ready to Move,2006,4,2,5,0,1062.2342790071373
Delhi,Pune,Locality_25,Builder Floor,5,2864.0,Fully Furnished,18.0,43,No,,North,Agent,Under Construction,1994,7,3,2,3,575.9683709539441
Maharashtra,New Delhi,Locality_18,Villa,4,1789.0,Fully Furnished,23.0,27,No,Luxury,West,Builder,Under Construction,2006,8,4,9,3,537.2156395975566
Maharashtra,Gurgaon,Locality_19,Villa,4,4265.0,Semi-Furnished,23.0,47,No,Basic,North,Builder,Under Construction,1990,0,4,4,3,849.2576563261626
Karnataka,Gurgaon,Locality_23,Apartment,3,2375.0,Semi-Furnished,15.0,23,Yes,Basic,South,Agent,Ready to Move,2005,8,2,1,0,441.2716347353455
Delhi,Gurgaon,Locality_38,Builder Floor,5,4928.0,Semi-Furnished,26.0,26,No,Premium,South,Builder,Under Construction,2006,8,0,2,1,1573.1688076882397
Haryana,Hyderabad,Locality_18,Apartment,2,1282.0,Unfurnished,30.0,42,Yes,Basic,North,Agent,Under Construction,2019,5,3,9,2,163.0853558813549
Tamil Nadu,Hyderabad,Locality_26,Builder Floor,2,1039.0,Fully Furnished,25.0,33,No,Premium,North,Owner,Under Construction,2020,9,0,7,2,146.26796088466804
Tamil Nadu,Mumbai,Locality_6,Builder Floor,5,3282.0,Fully Furnished,16.0,22,No,Basic,North-East,Builder,Ready to Move,2024,4,2,2,2,933.0502760011143
Haryana,Hyderabad,Locality_4,Independent House,2,3168.0,Semi-Furnished,39.0,43,No,Basic,North,Owner,Ready to Move,1997,6,4,7,1,406.0099077495819
Telangana,Pune,Locality_44,Independent House,5,4437.0,Unfurnished,14.0,17,Yes,Basic,North,Builder,Ready to Move,2019,7,4,4,3,718.8195772832094
Karnataka,Chennai,Locality_29,Apartment,2,,Unfurnished,17.0,40,,Luxury,South,Builder,Under Construction,2010,8,0,2,2,743.1738494184216
Tamil Nadu,Chennai,Locality_34,Builder Floor,3,4222.0,Unfurnished,12.0,33,,Premium,North,Owner,Ready to Move,2004,8,1,4,2,635.2157395739613
Delhi,Mumbai,Locality_17,Villa,2,4367.0,Semi-Furnished,29.0,41,No,Luxury,East,Owner,Ready to Move,2023,9,2,5,3,1490.3814795844946
Karnataka,Hyderabad,Locality_43,Independent House,4,2333.0,Unfurnished,32.0,40,No,Premium,North,Agent,Ready to Move,2016,2,4,4,2,419.1580485387632
Delhi,New Delhi,Locality_43,Villa,5,2646.0,Unfurnished,24.0,27,No,Basic,North-East,Agent,Ready to Move,1991,7,1,3,3,589.1055664146201
Maharashtra,Mumbai,Locality_16,Apartment,1,2670.0,Unfurnished,,49,No,Luxury,West,Owner,Under Construction,1999,0,4,6,2,934.4537913179021
Karnataka,New Delhi,Locality_2,Independent House,1,,Fully Furnished,20.0,20,No,Premium,South,Builder,Ready to Move,1994,6,4,1,3,764.0598968984096
Tamil Nadu,New Delhi,Locality_34,Independent House,5,2116.0,Semi-Furnished,15.0,35,No,Basic,East,Agent,Under Construction,2016,4,1,8,0,476.8632579553279
Karnataka,Bangalore,Locality_8,Builder Floor,3,1416.0,Fully Furnished,4.0,38,No,Premium,West,Builder,Under Construction,1993,1,0,5,1,355.10301796679414
Karnataka,Chennai,Locality_13,Apartment,2,3256.0,Fully Furnished,34.0,38,Yes,Premium,East,Agent,Under Construction,2002,1,2,8,2,439.2219864081525
Karnataka,Gurgaon,Locality_42,Builder Floor,3,2436.0,Semi-Furnished,28.0,34,No,Basic,South,Agent,Under Construction,2006,7,1,4,3,400.5499269827488
Telangana,Hyderabad,Locality_8,Independent House,1,4542.0,Fully Furnished,2.0,44,Yes,Luxury,North-East,Agent,Under Construction,2010,4,1,4,0,752.7210656356376
Karnataka,New Delhi,Locality_30,Apartment,5,3591.0,Unfurnished,30.0,47,No,Basic,South,Owner,Under Construction,2012,2,4,5,3,893.4302016459443
Delhi,Bangalore,Locality_32,Independent House,5,1468.0,Unfurnished,26.0,31,Yes,Luxury,East,Builder,Ready to Move,2022,0,1,5,2,441.01923201525193
Maharashtra,Chennai,Locality_36,Apartment,3,3864.0,Unfurnished,26.0,34,Yes,Premium,East,Owner,Under Construction,2004,6,2,6,2,691.8537578374628
Haryana,Gurgaon,Locality_47,Independent House,3,3703.0,Unfurnished,20.0,48,No,Premium,South,Agent,Ready to Move,2003,2,0,5,2,748.5712965205059
Karnataka,New Delhi,Locality_30,Villa,2,1389.0,Semi-Furnished,,37,Yes,Premium,North,Owner,Under Construction,1998,6,0,5,2,289.4888658989118
Tamil Nadu,New Delhi,Locality_1,Villa,4,1292.0,Fully Furnished,20.0,24,Yes,Luxury,South,Owner,Ready to Move,2019,1,0,8,2,445.4271004223998
Karnataka,Mumbai,Locality_43,Builder Floor,4,3958.0,Fully Furnished,11.0,17,No,Basic,North-East,Owner,Under Construction,2018,3,2,6,0,884.5680354880384
Tamil Nadu,Mumbai,Locality_39,Villa,2,1481.0,Unfurnished,10.0,12,No,Luxury,South,Builder,Ready to Move,2012,1,4,2,3,465.0273060452228
Delhi,Chennai,Locality_17,Independent House,4,4031.0,Unfurnished,23.0,49,,Premium,West,Owner,Ready to Move,2023,3,2,4,3,766.5757983319868
Tamil Nadu,Gurgaon,Locality_20,Independent House,1,4029.0,Fully Furnished,37.0,38,Yes,Premium,North,Owner,Under Construction,1996,4,1,4,2,948.8824872349525
Haryana,New Delhi,Locality_24,Villa,4,1301.0,Semi-Furnished,19.0,36,No,Basic,West,Owner,Under Construction,1998,7,3,5,3,242.45155575412787
Maharashtra,Chennai,Locality_50,Builder Floor,2,542.0,Fully Furnished,18.0,46,Yes,Luxury,South,Owner,Under Construction,1993,1,3,6,0,105.61671460972612
Tamil Nadu,Chennai,Locality_22,Villa,4,3849.0,Unfurnished,27.0,28,No,Premium,North,Owner,Under Construction,1991,9,3,5,2,681.7824129101064
Tamil Nadu,Pune,Locality_29,Apartment,5,2277.0,Unfurnished,6.0,48,No,Luxury,West,Owner,Ready to Move,2016,2,0,6,1,694.5261111000358
Maharashtra,Hyderabad,Locality_22,Apartment,3,3701.0,Semi-Furnished,,43,Yes,Luxury,West,Owner,Ready to Move,2022,9,2,8,0,920.9771688995795
Haryana,Mumbai,Locality_44,Apartment,1,849.0,Fully Furnished,2.0,24,Yes,Basic,North,Agent,Under Construction,2021,4,2,4,2,195.46989106258383
Karnataka,Gurgaon,Locality_9,Villa,5,,Semi-Furnished,24.0,28,Yes,Basic,North,Owner,Under Construction,2016,8,0,3,3,441.8471664051276
Tamil Nadu,New Delhi,Locality_37,Villa,5,1629.0,Semi-Furnished,38.0,42,No,,East,Owner,Ready to Move,2017,9,1,9,0,432.4934285905237
Maharashtra,Chennai,Locality_10,Villa,2,3459.0,Unfurnished,28.0,30,,Basic,North,Builder,Under Construction,1992,4,3,3,2,447.2986715643145
Delhi,New Delhi,Locality_36,Apartment,3,4287.0,Fully Furnished,28.0,29,No,Luxury,South,Agent,Ready to Move,1997,8,3,8,3,1254.0739278539
Maharashtra,Pune,Locality_37,Builder Floor,3,2280.0,Unfurnished,39.0,40,Yes,,North-East,Owner,Under Construction,2011,3,0,5,3,386.81636670739806
Delhi,Gurgaon,Locality_28,Independent House,1,1083.0,Fully Furnished,2.0,11,Yes,Luxury,East,Builder,Under Construction,2003,9,3,9,2,237.33244712091798
Haryana,Chennai,Locality_28,Villa,2,3877.0,Unfurnished,5.0,14,Yes,Premium,North,Owner,Ready to Move,2004,4,4,3,0,653.097024768953
Karnataka,New Delhi,Locality_42,Builder Floor,1,3901.0,Unfurnished,,16,Yes,Luxury,North-East,Owner,Ready to Move,1993,8,2,8,2,1205.7596355172539
Maharashtra,Mumbai,Locality_43,Independent House,4,3685.0,Fully Furnished,10.0,17,No,Basic,East,Owner,Under Construction,2007,3,3,7,2,846.8693356364807
Telangana,Hyderabad,Locality_21,Independent House,5,2694.0,Fully Furnished,2.0,29,,Basic,South,Owner,Ready to Move,1990,4,3,7,2,475.96185919195926
Tamil Nadu,Pune,Locality_24,Independent House,1,1662.0,Unfurnished,15.0,20,Yes,Premium,North-East,Owner,Under Construction,2001,4,4,9,2,225.72624628403705
Haryana,Gurgaon,Locality_42,Builder Floor,5,798.0,Fully Furnished,39.0,41,No,Basic,North,Builder,Ready to Move,2006,3,1,8,2,152.35779472142514
Maharashtra,Pune,Locality_40,Builder Floor,2,3847.0,Unfurnished,37.0,46,No,Premium,North,Owner,Under Construction,2008,3,1,3,3,562.559683307826
Tamil Nadu,Mumbai,Locality_2,Apartment,4,2439.0,Fully Furnished,7.0,8,Yes,Premium,South,Builder,Under Construction,1996,4,4,6,2,630.9116601483394
Maharashtra,Gurgaon,Locality_8,Builder Floor,2,1288.0,Unfurnished,20.0,27,Yes,Basic,East,Owner,Under Construction,1998,5,1,6,0,205.51826541301642
Delhi,Pune,Locality_48,Builder Floor,4,3389.0,Unfurnished,34.0,36,Yes,Luxury,North-East,Builder,Ready to Move,1997,6,0,5,1,875.4916009991235
Maharashtra,Bangalore,Locality_27,Builder Floor,4,1877.0,Unfurnished,35.0,43,Yes,,South,Agent,Ready to Move,2014,5,4,3,2,488.61690443542426
Telangana,Mumbai,Locality_22,Independent House,5,2449.0,Semi-Furnished,34.0,43,Yes,Luxury,East,Owner,Ready to Move,1996,0,2,9,0,843.8050018730214
Maharashtra,Mumbai,Locality_37,Villa,2,3772.0,Fully Furnished,22.0,25,Yes,Basic,West,Agent,Ready to Move,1997,1,2,7,1,935.3401651504697
Maharashtra,Mumbai,Locality_27,Apartment,2,1377.0,Unfurnished,31.0,49,No,Luxury,West,Agent,Under Construction,2013,6,2,4,0,507.3088739463904
Telangana,Bangalore,Locality_29,Villa,1,4242.0,Semi-Furnished,23.0,27,No,Luxury,East,Agent,Ready to Move,2006,2,3,6,3,1069.0291927784947
Haryana,Bangalore,Locality_3,Villa,2,2077.0,Unfurnished,,24,No,Luxury,North,Owner,Ready to Move,2001,9,4,5,3,507.904081320533
Maharashtra,New Delhi,Locality_44,Builder Floor,1,3639.0,Semi-Furnished,4.0,19,No,Luxury,North,Agent,Ready to Move,2020,1,4,1,1,769.1552117071775
Telangana,Chennai,Locality_13,Apartment,3,2992.0,Unfurnished,24.0,41,Yes,Basic,West,Builder,Under Construction,2001,5,1,2,1,468.0342354899919
Tamil Nadu,Hyderabad,Locality_45,Villa,3,3255.0,Unfurnished,20.0,24,Yes,,North,Owner,Ready to Move,1991,3,4,1,1,536.0269143327276
Delhi,Pune,Locality_10,Villa,3,2403.0,Semi-Furnished,39.0,41,Yes,Luxury,North,Agent,Ready to Move,2001,4,4,9,3,525.2544799576762
Delhi,New Delhi,Locality_36,Apartment,2,1882.0,Semi-Furnished,28.0,36,Yes,Basic,East,Owner,Under Construction,2016,5,1,9,3,392.85139892875355
Maharashtra,Pune,Locality_9,Builder Floor,2,,Fully Furnished,39.0,47,No,Basic,East,Agent,Under Construction,1996,2,4,5,0,562.9884878633745
Haryana,Hyderabad,Locality_27,Villa,1,2822.0,Fully Furnished,17.0,45,,Premium,North,Builder,Under Construction,2002,0,4,8,3,444.09097814517605
Haryana,Chennai,Locality_34,Independent House,4,3056.0,Semi-Furnished,,23,Yes,Basic,East,Owner,Under Construction,1990,2,0,4,1,389.3582517263959
Tamil Nadu,Bangalore,Locality_1,Villa,1,2361.0,Fully Furnished,35.0,40,Yes,Luxury,North-East,Owner,Under Construction,2024,2,1,1,2,564.4112571666658
Maharashtra,Chennai,Locality_32,Independent House,3,2366.0,Semi-Furnished,32.0,35,Yes,Basic,West,Agent,Under Construction,2019,5,0,4,2,351.5403934572968
Delhi,Bangalore,Locality_25,Builder Floor,1,4547.0,Fully Furnished,39.0,41,No,Basic,North-East,Builder,Under Construction,2020,3,3,7,1,644.8230005426506
Haryana,Hyderabad,Locality_29,Villa,4,3675.0,Unfurnished,35.0,40,Yes,Basic,North-East,Owner,Ready to Move,2006,6,1,2,3,470.67180295563054
Maharashtra,Chennai,Locality_7,Apartment,2,1598.0,Fully Furnished,30.0,47,No,Basic,North,Agent,Under Construction,1997,1,4,2,1,248.84835201549708
Haryana,New Delhi,Locality_49,Apartment,1,2234.0,Unfurnished,17.0,33,Yes,Premium,North,Builder,Under Construction,1992,3,4,6,3,478.5352636900167
Telangana,Gurgaon,Locality_3,Villa,3,3916.0,Unfurnished,29.0,46,Yes,Luxury,North-East,Builder,Under Construction,1999,7,0,9,2,1181.9729397042506
Haryana,New Delhi,Locality_20,Builder Floor,3,1180.0,Fully Furnished,6.0,7,Yes,Luxury,North-East,Builder,Under Construction,2023,5,0,3,0,385.0984362021838
Delhi,Pune,Locality_20,Builder Floor,2,2570.0,Semi-Furnished,17.0,17,No,Basic,South,Builder,Under Construction,2011,9,3,7,3,427.9676067187326
Karnataka,New Delhi,Locality_30,Apartment,1,2229.0,Unfurnished,17.0,48,Yes,Basic,South,Owner,Ready to Move,1993,2,3,9,0,323.29861215130853
Tamil Nadu,Hyderabad,Locality_35,Villa,4,2691.0,Unfurnished,14.0,19,Yes,Premium,West,Owner,Ready to Move,2021,9,4,9,2,575.529099372883
Tamil Nadu,Mumbai,Locality_35,Builder Floor,2,1167.0,Fully Furnished,24.0,25,Yes,Basic,North-East,Builder,Ready to Move,2018,1,2,4,0,225.82389475146442
Delhi,Pune,Locality_49,Apartment,1,2112.0,Semi-Furnished,37.0,42,No,Premium,East,Agent,Ready to Move,2000,2,3,2,0,278.0636555440647
Haryana,Chennai,Locality_39,Independent House,5,1180.0,Semi-Furnished,39.0,47,No,Luxury,South,Agent,Ready to Move,2002,0,4,1,1,310.42179684598216
Maharashtra,Pune,Locality_27,Villa,3,1472.0,Fully Furnished,32.0,36,Yes,Luxury,North,Builder,Ready to Move,1993,0,3,6,0,410.1653226851704
Haryana,Gurgaon,Locality_26,Independent House,4,,Semi-Furnished,36.0,44,No,Premium,North-East,Builder,Ready to Move,1991,1,1,5,2,693.8600209492764
Delhi,Bangalore,Locality_14,Independent House,4,2632.0,Fully Furnished,37.0,43,Yes,Luxury,East,Agent,Under Construction,2023,2,0,6,3,750.9409887087431
Tamil Nadu,Chennai,Locality_17,Builder Floor,4,2963.0,Fully Furnished,14.0,17,Yes,Basic,East,Builder,Under Construction,2011,8,4,7,0,461.73829539336805
Haryana,Pune,Locality_18,Builder Floor,3,3029.0,Fully Furnished,,34,No,Basic,East,Builder,Under Construction,1994,7,3,9,3,425.672104557615
Tamil Nadu,Chennai,Locality_45,Builder Floor,1,3003.0,Unfurnished,19.0,39,Yes,Premium,North,Owner,Under Construction,1998,8,0,6,1,520.2553789116816
Maharashtra,Chennai,Locality_29,Villa,2,4892.0,Unfurnished,31.0,33,,Luxury,South,Owner,Under Construction,2009,6,2,6,2,1023.2316900306804
Tamil Nadu,Chennai,Locality_20,Independent House,1,3683.0,Unfurnished,9.0,18,,Luxury,East,Builder,Under Construction,2010,6,3,3,2,760.5389801396565
Tamil Nadu,Bangalore,Locality_27,Villa,2,4533.0,Fully Furnished,38.0,39,No,Premium,South,Builder,Ready to Move,2006,4,4,8,3,883.066079538944
Karnataka,Hyderabad,Locality_18,Builder Floor,4,3667.0,Unfurnished,17.0,32,,Premium,West,Owner,Under Construction,2001,6,1,9,2,638.0742051247906
Karnataka,New Delhi,Locality_4,Independent House,1,3497.0,Unfurnished,19.0,34,No,Luxury,North,Builder,Under Construction,2017,3,0,1,1,942.8383175269535
Telangana,Chennai,Locality_1,Villa,4,3727.0,Unfurnished,,30,Yes,Premium,South,Owner,Under Construction,2007,4,0,6,3,670.9188212990884
Karnataka,Mumbai,Locality_50,Villa,5,2652.0,Fully Furnished,11.0,11,Yes,Basic,South,Owner,Ready to Move,1992,0,1,7,2,777.60456216006
Tamil Nadu,Hyderabad,Locality_1,Apartment,4,2228.0,Fully Furnished,22.0,43,Yes,Luxury,East,Agent,Ready to Move,1994,3,4,8,1,466.4576259412496
Delhi,Gurgaon,Locality_26,Villa,4,2524.0,Fully Furnished,,35,Yes,Premium,East,Owner,Ready to Move,2003,2,2,8,1,623.2229904577034
Tamil Nadu,Bangalore,Locality_45,Builder Floor,2,829.0,Unfurnished,17.0,20,Yes,Premium,North,Agent,Under Construction,2015,1,1,7,0,193.54124543094636
Delhi,Pune,Locality_20,Villa,5,2986.0,Semi-Furnished,8.0,39,Yes,Premium,South,Agent,Under Construction,2008,1,2,8,2,711.0493796527356
Delhi,Bangalore,Locality_23,Independent House,4,1655.0,Unfurnished,34.0,37,Yes,Luxury,North-East,Owner,Under Construction,2006,7,4,9,3,421.9671600771027
Karnataka,Pune,Locality_10,Villa,4,2390.0,Unfurnished,11.0,40,Yes,Basic,East,Builder,Ready to Move,1993,0,3,7,0,463.65358651892564
Haryana,Bangalore,Locality_11,Apartment,5,4977.0,Fully Furnished,31.0,31,No,Basic,East,Owner,Ready to Move,2024,7,3,3,3,1082.3849879342386
Maharashtra,Pune,Locality_41,Independent House,5,2685.0,Fully Furnished,11.0,28,,Luxury,West,Agent,Under Construction,2013,8,4,9,0,776.9396974053545
Karnataka,Chennai,Locality_41,Independent House,1,2817.0,Unfurnished,,44,Yes,Premium,North,Owner,Ready to Move,2002,5,2,1,1,375.366436927528
Karnataka,New Delhi,Locality_5,Apartment,2,4121.0,Unfurnished,21.0,33,Yes,Luxury,South,Owner,Under Construction,2022,0,1,8,0,1159.0967704829811
Haryana,Pune,Locality_1,Builder Floor,5,4991.0,Semi-Furnished,30.0,49,Yes,Luxury,South,Agent,Ready to Move,2004,9,4,6,0,1512.950516879879
Maharashtra,Pune,Locality_17,Independent House,5,3011.0,Semi-Furnished,,26,Yes,Premium,South,Owner,Ready to Move,2004,6,4,3,0,606.3263505817293
Tamil Nadu,Mumbai,Locality_22,Builder Floor,3,949.0,Fully Furnished,,30,No,Luxury,East,Owner,Ready to Move,2020,4,3,9,2,288.471943625932
Telangana,Pune,Locality_34,Independent House,5,1854.0,Semi-Furnished,27.0,35,No,Basic,North,Agent,Under Construction,2017,8,1,6,0,317.47516622433886
Telangana,Mumbai,Locality_45,Independent House,2,1793.0,Semi-Furnished,8.0,9,No,Luxury,South,Builder,Ready to Move,1999,6,3,7,1,480.8301355581883
Tamil Nadu,Gurgaon,Locality_41,Builder Floor,4,2965.0,Fully Furnished,,44,Yes,Premium,North-East,Agent,Under Construction,1996,4,2,2,3,812.2911954603087
Karnataka,Chennai,Locality_29,Independent House,4,3602.0,Semi-Furnished,8.0,15,Yes,,West,Agent,Under Construction,2022,1,2,1,2,714.8231025385907
Maharashtra,Mumbai,Locality_4,Builder Floor,4,2349.0,Unfurnished,8.0,22,Yes,Basic,West,Owner,Under Construction,1996,3,0,1,1,541.0702841731413
Karnataka,New Delhi,Locality_5,Apartment,4,3675.0,Semi-Furnished,34.0,46,Yes,Luxury,South,Agent,Ready to Move,1994,1,4,3,2,1423.0235302631786
Delhi,Hyderabad,Locality_11,Builder Floor,3,4781.0,Fully Furnished,16.0,34,No,Luxury,East,Owner,Ready to Move,2015,8,1,3,3,1042.1370361709157
Karnataka,Chennai,Locality_21,Apartment,5,3699.0,Unfurnished,13.0,19,No,Luxury,West,Owner,Ready to Move,2005,1,1,8,3,850.07645828487
Karnataka,Mumbai,Locality_35,Independent House,4,1733.0,Semi-Furnished,23.0,28,Yes,Luxury,West,Owner,Under Construction,1997,1,3,7,3,667.5641361238446
Tamil Nadu,Chennai,Locality_12,Builder Floor,1,1937.0,Unfurnished,12.0,20,Yes,Premium,West,Agent,Ready to Move,2011,1,3,8,2,249.55836625514078
Tamil Nadu,Chennai,Locality_26,Independent House,4,3852.0,Unfurnished,27.0,44,No,Basic,West,Agent,Ready to Move,2023,0,1,1,2,480.5395607705622
Tamil Nadu,Chennai,Locality_19,Builder Floor,5,4530.0,Semi-Furnished,,23,No,,South,Owner,Under Construction,2017,8,3,4,3,778.4639365605979
Telangana,Gurgaon,Locality_45,Apartment,4,752.0,Semi-Furnished,32.0,47,No,Basic,North,Builder,Under Construction,1996,7,0,8,3,171.44590692214578
Delhi,New Delhi,Locality_7,Apartment,3,518.0,Fully Furnished,27.0,38,No,Luxury,North,Builder,Under Construction,2017,1,4,2,1,186.167523921727
Tamil Nadu,Bangalore,Locality_47,Builder Floor,2,3259.0,Fully Furnished,2.0,31,No,Basic,East,Agent,Ready to Move,1991,1,0,7,3,607.0557611133075
Maharashtra,Bangalore,Locality_7,Apartment,2,722.0,Unfurnished,33.0,33,No,Premium,North-East,Owner,Ready to Move,1998,4,2,8,0,170.39726321246587
Telangana,Mumbai,Locality_26,Independent House,5,502.0,Fully Furnished,26.0,40,No,Luxury,North,Owner,Under Construction,1995,3,1,9,2,242.8296804450484
Haryana,Chennai,Locality_40,Independent House,2,,Unfurnished,,31,Yes,Luxury,North-East,Agent,Ready to Move,1990,1,0,7,1,382.4046430447209
Maharashtra,Mumbai,Locality_5,Villa,2,4823.0,Unfurnished,19.0,19,Yes,Basic,North,Builder,Under Construction,1992,7,0,9,2,1195.0842885037662
Maharashtra,Gurgaon,Locality_21,Apartment,1,3068.0,Fully Furnished,5.0,9,,Luxury,North,Agent,Ready to Move,1999,7,3,2,3,812.0978169385031
Tamil Nadu,Gurgaon,Locality_14,Independent House,5,2385.0,Fully Furnished,33.0,34,Yes,Luxury,East,Agent,Under Construction,2012,3,3,1,0,698.9876953242825
Haryana,Pune,Locality_4,Builder Floor,5,1799.0,Fully Furnished,20.0,35,No,,West,Owner,Ready to Move,2022,3,3,1,3,282.59155187667295
Haryana,Gurgaon,Locality_23,Apartment,2,2838.0,Semi-Furnished,30.0,38,Yes,Premium,East,Agent,Under Construction,1998,8,2,4,2,517.4423715187627
Telangana,Pune,Locality_42,Independent House,2,1576.0,Unfurnished,8.0,34,No,Premium,North,Builder,Under Construction,2002,3,0,1,1,320.58741833002085
Haryana,New Delhi,Locality_20,Apartment,2,4258.0,Unfurnished,38.0,46,Yes,Basic,West,Agent,Under Construction,2017,9,4,7,2,874.0282928179262
Delhi,Mumbai,Locality_15,Builder Floor,3,3681.0,Unfurnished,17.0,39,,Premium,West,Owner,Ready to Move,1996,8,3,8,1,1153.4879631371912
Tamil Nadu,Hyderabad,Locality_50,Independent House,4,1447.0,Fully Furnished,1.0,10,Yes,Premium,West,Builder,Ready to Move,2015,2,2,3,0,249.3458105391685
Haryana,New Delhi,Locality_45,Villa,3,4238.0,Fully Furnished,3.0,32,,Premium,North-East,Owner,Ready to Move,2005,1,2,1,3,1041.0583579773613
Telangana,Gurgaon,Locality_29,Villa,5,3231.0,Fully Furnished,26.0,36,No,Luxury,North,Agent,Under Construction,2015,7,3,3,3,889.7212350941879
Delhi,New Delhi,Locality_8,Apartment,1,4507.0,Fully Furnished,31.0,46,No,Luxury,South,Agent,Under Construction,2021,2,1,2,0,1374.99187095716
